🤠雷蒙影视直播,#genre#
凤凰中文,http://211.72.65.236:8577/.m3u8$雷蒙影视•IPV4『线路30』
凤凰中文,https://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路31』
凤凰中文,http://60.164.128.167:8029/rtp/239.255.30.50:8231$雷蒙影视•IPV4『线路32』
凤凰中文,https://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路33』
凤凰中文,http://60.164.128.167:8029/rtp/239.255.30.50:8231$雷蒙影视•IPV4『线路34』
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路35』
凤凰中文,http://60.164.128.167:8029/rtp/239.255.30.50:8231$雷蒙影视•IPV4『线路36』
凤凰中文,http://110.185.39.111:8888/rtp/239.93.1.9:2192$雷蒙影视•IPV4『线路37』
凤凰中文,http://146.56.153.245:20121/bysid/258$雷蒙影视•IPV4『线路38』
凤凰中文,http://211.72.65.236:8577/.m3u8$雷蒙影视•IPV4『线路39』
凤凰中文,https://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路40』
凤凰中文,http://www.sjwyp.com:4022/rtp/239.254.201.2:5226$雷蒙影视•IPV4『线路41』
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$雷蒙影视•IPV4『线路42』
凤凰中文,http://120.55.49.231:2693/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路43』
凤凰中文,http://sss918.synology.me:8000/rtp/233.50.200.42:5140$雷蒙影视•IPV4『线路44』
凤凰中文,http://60.164.128.167:8029/rtp/239.255.30.50:8231$雷蒙影视•IPV4『线路45』
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路46』
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路47』
凤凰中文,http://120.55.49.231:9568/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路48』
凤凰中文,http://free.xiptv.x10.bz/kudou.php?id=121$雷蒙影视•IPV4『线路49』
凤凰中文,http://www.tk1986.top:8888/udp/239.76.253.135:9000$雷蒙影视•IPV4『线路50』
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$雷蒙影视•IPV4『线路51』
凤凰中文,http://60.255.240.247:8090/live/test1_4000.m3u8$雷蒙影视•IPV4『线路52』
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8$雷蒙影视•IPV4『线路53』
凤凰中文,http://171.213.207.159:4022/rtp/239.93.0.162:2192$雷蒙影视•IPV4『线路54』
凤凰中文,http://171.213.207.159:4022/rtp/239.93.1.9:2192$雷蒙影视•IPV4『线路55』
凤凰中文,http://tvbox6.com/tv/fengshows.php?id=2$雷蒙影视•IPV4『线路56』
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$雷蒙影视•IPV4『线路57』
凤凰中文,http://xeace.cn:8888/udp/239.93.1.9:2192$雷蒙影视•IPV4『线路58』
凤凰中文,http://www.erbao1981.top:8188/udp/239.76.246.135:1234$雷蒙影视•IPV4『线路59』
凤凰中文,http://8.138.7.223/tv/gdmzyd.php?id=4$雷蒙影视•IPV4『线路60』
凤凰中文,http://8.138.7.223/tv/bj3w.php?id=31$雷蒙影视•IPV4『线路61』
凤凰中文,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8$雷蒙影视•IPV4『线路62』
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8$雷蒙影视•IPV4『线路63』
凤凰中文,http://cdn3.1678520.xyz/live/live1.1.php?id=fhzw$雷蒙影视•IPV4『线路64』
凤凰中文,http://117.114.153.18:8180/TV00000000000000000069@HHZT$雷蒙影视•IPV4『线路65』
凤凰中文,https://shenxian.serv00.net/fhx.php?id=zw$雷蒙影视•IPV4『线路66』
凤凰中文,http://183.234.238.18:8927/live1129.m3u8$雷蒙影视•IPV4『线路67』
凤凰中文,http://110.40.33.162:88/live/sxg.php?id=fhzw$雷蒙影视•IPV4『线路68』
凤凰中文,http://www.terrykang.cn:5678/sxg.php?id=test1_4000$雷蒙影视•IPV4『线路69』
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$雷蒙影视•IPV4『线路70』
凤凰中文,http://13457610200.8866.org:2018/live/凤凰卫视/index.m3u8$雷蒙影视•IPV4『线路71』
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8$雷蒙影视•IPV4『线路72』
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8$雷蒙影视•IPV4『线路73』
凤凰中文,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8$雷蒙影视•IPV4『线路74』
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8$雷蒙影视•IPV4『线路75』
凤凰中文,http://r.jdshipin.com/cCCzW$雷蒙影视•IPV4『线路76』
凤凰中文,http://dms.yryyj.site:8188/udp/239.76.246.135:1234$雷蒙影视•IPV4『线路77』
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?$雷蒙影视•IPV4『线路78』
凤凰中文,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc$雷蒙影视•IPV4『线路79』
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0$雷蒙影视•IPV4『线路80』
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8$雷蒙影视•IPV4『线路81』
凤凰中文,http://yujukoo.gicp.net:8888/udp/239.93.0.162:2192$雷蒙影视•IPV4『线路82』
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv$雷蒙影视•IPV4『线路83』
凤凰中文,http://103.95.24.37:880/fhws.m3u8$雷蒙影视•IPV4『线路84』
凤凰中文,http://mail.petzhu.top:7000/rtp/239.254.201.2:5226$雷蒙影视•IPV4『线路85』
凤凰中文,https://stream1.freetv.fun/fe3d3346f748e4ec230691be958aff27e91c225b43b5855685cd1fbe79c56f60.m3u8$雷蒙影视•IPV4『线路86』
凤凰中文,https://stream1.freetv.fun/4e695e885cc20b20b7e3ec874fe52ed75e27443778c8ff29e498c4c9d7cec4a0.m3u8$雷蒙影视•IPV4『线路87』
凤凰中文,https://stream1.freetv.fun/91dffd2dca60b65821a94747f2f3020dfc9642bb89f86ed7fa6d8b0b7487c5d2.m3u8$雷蒙影视•IPV4『线路88』
凤凰中文,https://stream1.freetv.fun/2b657a181daa345025199e7d6b8de95a1a87b19abceafbd16e2499a49da33c6f.m3u8$雷蒙影视•IPV4『线路89』
凤凰中文,https://stream1.freetv.fun/2cd8b0d0e8b7bda9c76ae4e0d554782532055b48e88e266f743eaa21ca7e44e0.ctv$雷蒙影视•IPV4『线路90』
凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv$雷蒙影视•IPV4『线路91』
凤凰中文,http://kxrj.site:8081/8647/fh.php?id=fhzw$雷蒙影视•IPV4『线路92』
凤凰中文,http://120.55.49.231:3543/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路93』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-5.ctv$雷蒙影视•IPV4『线路94』
凤凰中文,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzw$雷蒙影视•IPV4『线路95』
凤凰中文,http://163.177.123.192:9901/tsfile/live/1017_1.m3u8$雷蒙影视•IPV4『线路96』
凤凰中文,http://120.55.49.231:9568/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路97』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-8.ctv$雷蒙影视•IPV4『线路98』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-14.ctv$雷蒙影视•IPV4『线路99』
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068$雷蒙影视•IPV4『线路100』
凤凰中文,http://120.55.49.231:2693/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路101』
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8$雷蒙影视•IPV4『线路102』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-1.m3u8$雷蒙影视•IPV4『线路103』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-18.m3u8$雷蒙影视•IPV4『线路104』
凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140$雷蒙影视•IPV4『线路105』
凤凰中文,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.105.252.59:80/PLTV/3/224/3221228527/1.m3u8?accountinfo=liKUscxeA3mntTkvcrPdLC0JYhRJ8GbjSgBJJtzDsTUq%2FpkEzcEgSA5jxU7E691yoTzNtIBFrb%2BIDS0e%2Fx7VbeVgZAe%2Fh9LVb30YjuWosxNwd%2FGCIxz9Y34Vf7X4oRpDbF2ObC9a54Vp367lDA52PczEcH9gPEwYj%2BtNwrWi0aU%3D%3A20241025090449%2C-1%2C112.25.63.228%2C20241025090449%2CHD-10000k-1080P-fhchinese5s%2C1734243741512_23%3A8F%3AF4%3AAE%3A73%3AC6%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000016268459_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FHD-10000k-1080P-fhchinese5s%2FHD-10000k-1080P-fhchinese5s&icpid=88888888&from=5&popid=5&hms_devid=6885&prioritypopid=5$雷蒙影视•IPV4『线路106』
凤凰中文,p3p://108.181.32.169:22200/6410229e000655dd98612e41401e3e7d$雷蒙影视•IPV4『线路107』
凤凰中文,http://120.55.49.231:6519/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路108』
凤凰中文,http://114.105.171.177:9901/tsfile/live/1063_1.m3u8$雷蒙影视•IPV4『线路109』
凤凰中文,http://120.55.49.231:2433/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路110』
凤凰中文,http://120.55.49.231:3095/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路111』
凤凰中文,http://120.55.49.231:7718/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路112』
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8$雷蒙影视•IPV4『线路113』
凤凰中文,p3p://108.181.32.169:25221/6410229e000655dd98612e41401e3e7d$雷蒙影视•IPV4『线路114』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-3.ctv$雷蒙影视•IPV4『线路115』
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$雷蒙影视•IPV4『线路116』
凤凰中文,http://120.55.49.231:5920/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路117』
凤凰中文,http://120.55.49.231:9250/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路118』
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8$雷蒙影视•IPV4『线路119』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-13.ctv$雷蒙影视•IPV4『线路120』
凤凰中文,http://120.55.49.231:8617/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路121』
凤凰中文,http://zbdl.jsonjk.top/XGOMdl/ZBTVDL.php?id=null-3$雷蒙影视•IPV4『线路122』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-9.m3u8$雷蒙影视•IPV4『线路123』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-7.ctv$雷蒙影视•IPV4『线路124』
凤凰中文,https://dl.zhoujie218.top/new/fhx.php?id=fhzw$雷蒙影视•IPV4『线路125』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-15.ctv$雷蒙影视•IPV4『线路126』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-19.m3u8$雷蒙影视•IPV4『线路127』
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-2.ctv$雷蒙影视•IPV4『线路128』
凤凰中文,http://120.55.49.231:5783/rtp/233.50.200.191:5140$雷蒙影视•IPV4『线路129』
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8$雷蒙影视•IPV4『线路130』
凤凰中文,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8577/.m3u8$雷蒙影视•IPV4『线路131』
凤凰中文,http://146.56.153.245:20121/bysid/258$雷蒙影视•IPV4『线路132』
凤凰中文,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.184:9092$雷蒙影视•IPV4『线路133』
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8$雷蒙影视•IPV6『线路134』
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3$雷蒙影视•IPV6『线路135』
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8$雷蒙影视•IPV6『线路136』
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8$雷蒙影视•IPV6『线路137』
凤凰中文台,http://121.205.69.190:8848/rtp/239.61.2.184:9092$雷蒙影视•IPV4『线路1』
凤凰中文台,P2p://generationnexxxt.com:19806/d897c583969747fc8a362653e01faf4f#P2p://generationnexxxt.com:19806/64e1ab2a000417167359b3ca0417008f$雷蒙影视•IPV4『线路2』
凤凰卫视,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=phoenixtv_hd$雷蒙影视•IPV4『线路1』
凤凰卫视,http://211.72.65.236:8576/.m3u8$雷蒙影视•IPV4『线路2』
凤凰卫视,https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8$雷蒙影视•IPV4『线路3』
凤凰卫视,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8$雷蒙影视•IPV6『线路4』
凤凰卫视,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8$雷蒙影视•IPV6『线路5』
凤凰卫视中文台,http://e2.woc.iiiya.cn:8888/rtp/239.61.2.184:9092$雷蒙影视•IPV4『线路1』
凤凰卫视中文台,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.162:2192$雷蒙影视•IPV4『线路2』
凤凰卫视中文台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv$雷蒙影视•IPV4『线路3』
凤凰卫视中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8$雷蒙影视•IPV4『线路4』
凤凰资讯,http://171.213.130.23:8088/udp/239.93.0.118:2191$雷蒙影视•IPV4『线路1』
凤凰资讯,http://171.213.130.23:8088/udp/239.93.1.4:2191$雷蒙影视•IPV4『线路2』
凤凰资讯,http://221.237.92.253:9999/udp/239.93.0.118:2191$雷蒙影视•IPV4『线路3』
凤凰资讯,http://221.237.92.253:9999/udp/239.93.1.4:2191$雷蒙影视•IPV4『线路4』
凤凰资讯,http://222.211.162.3:8888/udp/239.93.0.118:2191$雷蒙影视•IPV4『线路5』
凤凰资讯,http://222.211.162.3:8888/udp/239.93.1.4:2191$雷蒙影视•IPV4『线路6』
凤凰资讯,http://60.164.229.62:4040/udp/239.255.30.70:8231$雷蒙影视•IPV4『线路7』
凤凰资讯,http://223.105.252.60/PLTV/3/224/3221228524/index.m3u8$雷蒙影视•IPV4『线路8』
凤凰资讯,http://eastscreen.tv/ooooo.php?id=fhzx$雷蒙影视•IPV4『线路9』
凤凰资讯,http://146.56.153.245:20121/bysid/257$雷蒙影视•IPV4『线路10』
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8$雷蒙影视•IPV4『线路11』
凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu002-golive.flv$雷蒙影视•IPV4『线路12』
凤凰资讯,http://114.55.117.163:8091/live/fhx.php?id=fhzx.flv&sign=7cd318&token=6740sbdswgd35t9u$雷蒙影视•IPV4『线路13』
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8$雷蒙影视•IPV4『线路14』
凤凰资讯,http://182.138.221.13:8888/udp/239.93.0.118:2191$雷蒙影视•IPV4『线路15』
凤凰资讯,http://175.9.193.128:4502/rtp/239.76.253.134:9000$雷蒙影视•IPV4『线路16』
凤凰资讯,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8576/.m3u8$雷蒙影视•IPV4『线路17』
凤凰资讯,http://kxrj.site:998/123/fh.php?id=fhzx$雷蒙影视•IPV4『线路18』
凤凰资讯,http://175.9.193.128:4502/rtp/239.76.253.136:9000$雷蒙影视•IPV4『线路19』
凤凰资讯,http://175.9.193.128:4502/rtp/239.76.253.134:9000$雷蒙影视•IPV4『线路20』
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8$雷蒙影视•IPV4『线路21』
凤凰资讯,http://xeace.cn:8888/rtp/239.93.1.4:2191$雷蒙影视•IPV4『线路22』
凤凰资讯,http://www.lebaobei.top:6868/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路23』
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8$雷蒙影视•IPV4『线路24』
凤凰资讯,http://211.72.65.236:8576/.m3u8$雷蒙影视•IPV4『线路25』
凤凰资讯,http://60.164.128.167:8029/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路26』
凤凰资讯,http://146.56.153.245:20121/bysid/257$雷蒙影视•IPV4『线路27』
凤凰资讯,http://120.55.49.231:7718/rtp/233.50.200.192:5140$雷蒙影视•IPV4『线路28』
凤凰资讯,https://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8$雷蒙影视•IPV4『线路29』
凤凰资讯,http://free.xiptv.x10.bz/kudou.php?id=122$雷蒙影视•IPV4『线路30』
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e$雷蒙影视•IPV4『线路31』
凤凰资讯,http://60.164.128.167:8029/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路32』
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8$雷蒙影视•IPV4『线路33』
凤凰资讯,http://60.164.128.167:8029/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路34』
凤凰资讯,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8576/.m3u8$雷蒙影视•IPV4『线路35』
凤凰资讯,http://60.164.128.167:8029/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路36』
凤凰资讯,http://60.164.128.167:8029/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路37』
凤凰资讯,http://120.55.49.231:7718/rtp/233.50.200.192:5140$雷蒙影视•IPV4『线路38』
凤凰资讯,http://110.185.39.111:8888/rtp/239.93.1.4:2191$雷蒙影视•IPV4『线路39』
凤凰资讯,http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-4$雷蒙影视•IPV4『线路40』
凤凰资讯,http://xeace.cn:8888/rtp/239.93.1.4:2191$雷蒙影视•IPV4『线路41』
凤凰资讯,http://211.72.65.236:8576/.m3u8$雷蒙影视•IPV4『线路42』
凤凰资讯,http://www.lebaobei.top:6868/rtp/239.255.30.70:8231$雷蒙影视•IPV4『线路43』
凤凰资讯,http://60.255.240.247:8090/live/test2_4000.m3u8$雷蒙影视•IPV4『线路44』
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8$雷蒙影视•IPV4『线路45』
凤凰资讯,http://171.213.207.159:4022/rtp/239.93.0.118:2191$雷蒙影视•IPV4『线路46』
凤凰资讯,http://171.213.207.159:4022/rtp/239.93.1.4:2191$雷蒙影视•IPV4『线路47』
凤凰资讯,http://tvbox6.com/tv/fengshows.php?id=1$雷蒙影视•IPV4『线路48』
凤凰资讯,http://ali.hlspull.yximgs.com/live/_pa_chong_bo___fenghuang.flv$雷蒙影视•IPV4『线路49』
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$雷蒙影视•IPV4『线路50』
凤凰资讯,http://www.erbao1981.top:8188/udp/239.76.246.134:1234$雷蒙影视•IPV4『线路51』
凤凰资讯,http://wouu.net:9977/rtp/239.93.0.118:2191$雷蒙影视•IPV4『线路52』
凤凰资讯,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8$雷蒙影视•IPV4『线路53』
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8$雷蒙影视•IPV4『线路54』
凤凰资讯,http://cdn5.1678520.xyz/live/live1.1.php?id=fhzx$雷蒙影视•IPV4『线路55』
凤凰资讯,http://ali.hlspull.yximgs.com/live/_pa_chong_bo___fenghuang.flv$雷蒙影视•IPV4『线路56』
凤凰资讯,http://117.114.153.18:8180/TV00000000000000000068@HHZT$雷蒙影视•IPV4『线路57』
凤凰资讯,https://shenxian.serv00.net/fhx.php?id=zx$雷蒙影视•IPV4『线路58』
凤凰资讯,http://183.234.238.18:8926/live1128.m3u8$雷蒙影视•IPV4『线路59』
凤凰资讯,http://110.40.33.162:88/live/sxg.php?id=fhzx$雷蒙影视•IPV4『线路60』
凤凰资讯,mitv://135.148.104.228:19806/3f7b6ed02526445e89ce536992d04ef5$雷蒙影视•IPV4『线路61』
凤凰资讯,P2p://generationnexxxt.com:19806/3f7b6ed02526445e89ce536992d04ef5$雷蒙影视•IPV4『线路62』
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8$雷蒙影视•IPV4『线路63』
凤凰资讯,http://www.terrykang.cn:5678/sxg.php?id=test2_4000$雷蒙影视•IPV4『线路64』
凤凰资讯,http://13457610200.8866.org:2018/live/凤凰资讯/index.m3u8$雷蒙影视•IPV4『线路65』
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8$雷蒙影视•IPV4『线路66』
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8$雷蒙影视•IPV4『线路67』
凤凰资讯,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8$雷蒙影视•IPV4『线路68』
凤凰资讯,http://dms.yryyj.site:8188/udp/239.76.246.134:1234$雷蒙影视•IPV4『线路69』
凤凰资讯,http://dms.yryyj.site:8188/udp/239.76.253.134:9000$雷蒙影视•IPV4『线路70』
凤凰资讯,http://yujukoo.gicp.net:8888/udp/239.93.0.118:2191$雷蒙影视•IPV4『线路71』
凤凰资讯,http://www.yao87.com:4022/udp/239.76.246.135:1234$雷蒙影视•IPV4『线路72』
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8$雷蒙影视•IPV4『线路73』
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$雷蒙影视•IPV4『线路74』
